14;1074978002;195.70.128.222;44a9ee3fb35d37ca22a60a7b326f069f;/;http://www.caramba.cz/page.php?PgID=3
12;1074978004;212.80.85.101;8f867890bb2507bacd6131f89d84c434;/dt/?c=15232;http://www.shop3.cz/ls/?id=43
14;1074978005;213.194.210.187;a356499a0c2ac6f9255d8af53882b769;/ls/?&id=73&view=2,3,4,7,8,10&sort=,4&filtr=64&pozice=20;http://www.shop4.cz/ls/?filtr=64&id=73&sort=,4&view=2,3,4,7,8,10
11;1074978006;62.177.107.132;92d8abbfe904fc1bf1cc27a1a1b7fc62;/ls/preber.php;http://www.shop2.cz/ls/?id=38
12;1074978007;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/ls/preber.php;http://www.shop3.cz/ls/?&id=90&view=6,4,3&pozice=100
11;1074978006;62.177.107.132;92d8abbfe904fc1bf1cc27a1a1b7fc62;/ls/?filtr=87&id=38&sort=&view=2,3;http://www.shop2.cz/ls/?id=38
12;1074978007;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/ls/?filtr=14&id=90&sort=&view=6,4,3;http://www.shop3.cz/ls/?&id=90&view=6,4,3&pozice=100
12;1074978008;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/ls/index.php?&id=90&view=6,4,3&filtr=14;http://www.shop3.cz/ls/?&id=90&view=6,4,3&pozice=100
15;1074978003;212.20.102.204;13237e979c915576580d26107f756794;/dt/?c=15292;http://www.shop5.cz/znacka/?c=180
12;1074978010;212.80.85.101;8f867890bb2507bacd6131f89d84c434;/dt/?c=10099;http://www.shop3.cz/ls/index.php?&id=41&view=1,2,5,20&sort=,_4&pozice=20
14;1074978013;212.20.97.53;d307a1ebf40cc1a6695af0bdc0bcd940;/ct/?c=169;http://www.shop4.cz/dt/?c=4064
12;1074978015;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/ct/?c=155;http://www.shop3.cz/ls/index.php?&id=90&view=6,4,3&filtr=14
11;1074978010;81.31.17.49;9781b86b98d6c87b408b32a154866a80;/dt/?c=9891;http://www.shop2.cz/ls/?filtr=68&id=75&sort=,4&view=6,9,21,29
14;1074978016;212.20.97.53;d307a1ebf40cc1a6695af0bdc0bcd940;/ls/?id=67;http://www.shop4.cz/ct/?c=169
15;1074978017;213.235.78.206;25017ad6d2ee2f6fd3be2f4d1d0d2503;/;http://search.seznam.cz/search.cgi?w=Download+Mp3+PanJabi+Mc&mod=l-p-s-1-y-n&a=0
14;1074978022;212.90.236.35;c9490db41f7b5603067f1afe0d7445ed;/dt/glosar.php?id=33;
15;1074978022;80.188.240.18;ed7381e0121d910803d6fa7c49c2993a;/;http://dir.seznam.cz/Hudba__Film_a_MP3/MP3/
14;1074978021;213.235.129.95;7e75e316db3fe1b8450989fc0b6ac6a5;/ls/?id=68;http://www.shop4.cz/ct/?c=170
11;1074978020;194.228.171.173;55bbb20b867c9f65672c3353ea7c9c96;/ls/?id=13;http://www.shop2.cz/ct/?c=146
11;1074978024;209.210.176.22;03d97ef29ffc03f72738b405773f5fbc;/;http://www.shop2.cz/
14;1074978024;212.20.97.53;d307a1ebf40cc1a6695af0bdc0bcd940;/dt/?c=11341;http://www.shop4.cz/ls/?id=67
11;1074978026;209.210.176.22;8cd9d6e13cc6d3b08f5220baa64e8fc9;/mailr/;http://www.shop2.cz/
11;1074978030;193.85.243.20;79fa7285bda24d5d29ed367e79926d3f;/ls/?id=18;http://www.shop2.cz/ls/?filtr=8&id=20&sort=&view=1,2,3,8
15;1074978032;195.113.26.196;d02c82356a76e272b5e2a63301ee4c33;/ls/?id=76;http://www.shop5.cz/dt/?c=16021
16;1074978028;62.177.71.22;9087562002aca229560be8466d52993c;/dt/?c=12242;http://www.shop6.cz/
11;1074978018;213.235.136.237;24560eca52db7762b51259d14124a0f4;/;http://search.seznam.cz/search.cgi?w=shop2&a=0
15;1074978034;195.113.26.196;d02c82356a76e272b5e2a63301ee4c33;/ls/index.php?&id=76&view=2,5,6,9,31&filtr=68;http://www.shop5.cz/ls/?id=76
11;1074978034;193.85.243.20;79fa7285bda24d5d29ed367e79926d3f;/ls/preber.php;http://www.shop2.cz/ls/?id=18
11;1074978035;193.85.243.20;79fa7285bda24d5d29ed367e79926d3f;/ls/?filtr=94&id=18&sort=&view=1,2,3,8;http://www.shop2.cz/ls/?id=18
11;1074978036;62.177.107.132;92d8abbfe904fc1bf1cc27a1a1b7fc62;/ct/?c=147;http://www.shop2.cz/ls/?filtr=87&id=38&sort=&view=2,3
12;1074978037;62.177.108.83;c6465ee2cb9c6ab87554a95b3adaab58;/ct/?c=157;http://www.shop3.cz/ct/?c=155
12;1074978037;212.20.105.25;79a133e6210aede281f7935ed94fae6b;/dt/?id=9280;http://www.shop3.cz/dt/?c=14382
15;1074978039;195.113.26.196;d02c82356a76e272b5e2a63301ee4c33;/dt/?c=10633;http://www.shop5.cz/ls/index.php?&id=76&view=2,5,6,9,31&filtr=68
15;1074978036;213.235.78.206;25017ad6d2ee2f6fd3be2f4d1d0d2503;/ls/?id=75;http://www.shop5.cz/
12;1074978040;212.20.105.25;79a133e6210aede281f7935ed94fae6b;/dt/?c=9280;http://www.shop3.cz/dt/?c=14382
11;1074978041;62.177.107.132;92d8abbfe904fc1bf1cc27a1a1b7fc62;/ls/?id=94;http://www.shop2.cz/ct/?c=147
11;1074978040;194.228.171.173;55bbb20b867c9f65672c3353ea7c9c96;/dt/?c=11313;http://www.shop2.cz/ls/?id=13
14;1074978045;212.20.99.250;90d9f02bcb7b46e493556ebaccc77dd1;/ls/sety.php?id=146;http://www.shop4.cz/dt/?c=15563
