15;1076547602;147.228.57.22;9403dd38873890693d49ca5389e0b72b;/;
15;1076547622;147.228.209.2;9403dd38873890693d49ca5389e0b72b;/ls/?id=20&filtr=80;http://www.shop5.cz/
14;1076547623;194.228.146.18;6cfa658f6d6343d6c23aa3970c961713;/ls/sety.php?id=146;http://www.shop4.cz/dt/?c=2286
14;1076547627;66.196.90.128;59622e8ace7a538424b7322b08acb8b3;/ct/index.php?id=172;
14;1076547628;66.196.90.128;d08fd6149fb3c35421e1a73254ab03c8;/ct/?c=172;
15;1076547638;147.228.209.2;9403dd38873890693d49ca5389e0b72b;/ls/?&id=20&view=1,2,3,8&filtr=80&pozice=20;http://www.shop5.cz/ls/?id=20&filtr=80
14;1076547639;64.68.82.164;7cee8691fbf767a4dffc101b3602f80b;/dt/obr.php?id=4917;
14;1076547648;194.228.146.18;6cfa658f6d6343d6c23aa3970c961713;/;
15;1076547648;147.228.209.2;9403dd38873890693d49ca5389e0b72b;/ls/?id=75;http://www.shop5.cz/ls/?&id=20&view=1,2,3,8&filtr=80&pozice=20
15;1076547653;147.228.209.2;9403dd38873890693d49ca5389e0b72b;/dt/?c=9890;http://www.shop5.cz/ls/?id=75
15;1076547680;147.228.209.2;9403dd38873890693d49ca5389e0b72b;/dt/?c=9890&komentare=1;http://www.shop5.cz/dt/?c=9890
15;1076547683;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/;
10;1076547697;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/;
10;1076547704;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/ct/?c=140;http://www.shop1.cz/
11;1076547724;65.54.188.19;1acf2d19f55320c0863d9ee03fe669e4;/dt/?c=9678&tisk=ano;
14;1076547724;64.68.82.33;43a943ab9b36b44d73534216d92d750d;/dt/?c=3681;
10;1076547733;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/ls/?id=2;http://www.shop1.cz/ct/?c=140
12;1076547737;160.218.108.34;355b7149b0c761723299008808497290;/findf/?full=SC-EH+790;http://www.shop3.cz/akce/?kat=53
10;1076547747;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/ls/preber.php;http://www.shop1.cz/ls/?id=2
10;1076547748;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/ls/?filtr=1&id=2&sort=&view=6,8,10,15;http://www.shop1.cz/ls/?id=2
10;1076547752;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/ls/?&id=2&view=6,8,10,15&filtr=1&pozice=20;http://www.shop1.cz/ls/?filtr=1&id=2&sort=&view=6,8,10,15
10;1076547779;212.20.113.212;8faddec188117bd2b01766cae3770c1f;/dt/?c=16112;http://www.shop1.cz/ls/?&id=2&view=6,8,10,15&filtr=1&pozice=20
15;1076547782;160.218.96.129;3d06f2b0a18483e5c2d1343c9080d31d;/df/?tree=77&id=16347,16349;
12;1076547792;195.146.126.118;1c9ffea29f5d3fc07ee2d7c035b25f5f;/znacka/?c=8;http://search.seznam.cz/search.cgi?w=sony+xm-222MK2&mod=l-p-s-1-y-n&a=0
14;1076547793;66.196.72.53;66f83922fa8a8bfa00a501c3a009a4d5;/dt/?id=4011;
12;1076547795;160.218.108.34;355b7149b0c761723299008808497290;/dt/?c=10451;http://www.shop3.cz/findf/?full=SC-EH+790
